"alciphron_gb" "anacreon_gb" "cash_corn_gb" "corruption_gb" "epistles_gb" "evenings_gb" "fables_holy_gb" "fudges_england_gb" "fudges_paris_gb" "intercepted_gb" "lalla_gb" "little_gb" "loves_angels_gb" "melodies_gb" "national_gb" "sacred_gb" "sceptic_gb" "summerfete_gb" "tom_crib_gb"
"all" 0.79924776680771 0.600256289202131 0.836611722523779 0.480267279181458 0.635515004482886 0.656767561393489 0.969997744191293 1.07193901858028 0.692729353653394 0.510089265621484 0.689886456187419 0.7169659608684 0.918149466192171 0.500310269934843 0.762759394279305 0.851134846461949 0.545171339563863 0.833742030407062 0.554775750284072
"for" 0.481899388810531 0.694678626829433 0.956127682884318 0.793485069951973 0.601234112124888 0.437845040928993 0.712835551545229 0.809909480705098 0.975844828624782 0.877653589378141 0.641977674507737 0.7169659608684 0.555160142348754 0.674837108284207 0.515984296130118 0.834445927903872 0.7398753894081 0.882785679254537 0.655036428046254
"his" 0.423131170662906 0.762123153706077 0.990986504656143 0.480267279181458 0.485206476451664 0.533028745478774 0.766974960523348 0.484357630617754 0.801156556833926 0.840147025729503 0.879924623516824 0.428839453229697 0.469750889679715 0.60114799875892 0.673022994952328 0.534045393858478 0.661993769470405 0.408697073728952 0.915714190227926
"but" 0.79924776680771 0.546300667700816 0.517902494895673 0.668197953643767 0.60650809556458 0.590138968208643 0.676742612226483 0.833730347784659 0.849346424914162 0.637611582026855 0.57330842076686 0.78397212543554 0.725978647686833 0.814458578963698 0.830061693774537 0.65086782376502 0.700934579439252 0.68661108386464 0.474567208074327
"is" 0.235072872590503 0.802589869832063 0.647378118619591 0.480267279181458 0.564316228047044 0.590138968208643 0.518836002706971 0.674924567254248 0.572254683452804 0.75013127297277 0.736198278477778 0.68346287858483 0.341637010676157 0.81833695314924 0.74032529444756 0.917890520694259 1.05140186915888 0.572175903220533 0.695140699151126
"from" 0.846262341325811 0.451878330073515 0.493003336487227 0.334098976821883 0.564316228047044 0.809061488673139 0.618091585833521 0.611402255042084 0.463827480272273 0.420073512864751 0.785704019546783 0.448941302599839 0.911032028469751 0.60114799875892 0.415030846887269 0.784379172229639 0.506230529595016 0.735654732712114 0.481251253258472
"her" 0.658204043253409 0.350711539758549 0.184253772222499 0.334098976821883 0.590686145245504 0.913763563677898 0.514324385292127 0.365253295219946 0.331305343051623 0.187532818243193 0.840000638783756 0.623157330474404 1.13879003558719 0.686472230840832 0.493550196298374 0.867823765020027 0.350467289719626 0.948177211051169 0.0334202259207272
"it" 0.352609308885755 0.512578404262494 0.493003336487227 0.522029651284193 0.611782079004272 0.399771559109081 0.600045116174148 0.571700809909481 0.49996988133245 0.772635211161953 0.584487136492119 0.690163495041544 0.597864768683274 0.616661495501086 0.515984296130118 0.250333778371162 0.700934579439252 0.457740722576426 0.548091705099926
"on" 0.634696755994358 0.343967087070884 0.741994920571685 0.396742534975987 0.466747534412742 0.675804302303446 0.54590570719603 0.476417341591234 0.49394614782242 0.465081389243118 0.627605040003833 0.636558563387832 0.526690391459075 0.643810114799876 0.572069545709478 0.450600801068091 0.233644859813084 0.572175903220533 0.447831027337745
"my" 0.822755054066761 1.18702367302893 0.527862158259051 0.334098976821883 0.717261747798112 0.161812297734628 0.284231897135123 0.929013816102906 0.891512559484368 0.615107643837672 0.188441207940082 1.21281157866524 0.725978647686833 0.434377908780639 0.616937745372967 0.517356475300401 0 0.163478829491581 0.247309671813381
"which" 0.493653032440056 0.559789573076145 0.278870574174593 1.3572770933389 0.611782079004272 0.380734818199124 0.636138055492894 0.476417341591234 0.403590145171978 0.465081389243118 0.630798958782478 0.422138836772983 0.725978647686833 0.434377908780639 0.269209197980931 0.333778371161549 0.778816199376947 0.294261893084846 0.608248111757235
"by" 0.517160319699107 0.478856140824172 0.502962999850605 0.751722697849238 0.508939401930278 0.694841043213402 0.613579968418678 0.524059075750357 0.481898680802361 0.547595829270122 0.533384436033792 0.529348700080407 0.526690391459075 0.515823766677009 0.325294447560292 0.450600801068091 0.58411214953271 0.555828020271375 0.574827885836508
"this" 0.658204043253409 0.735145342955419 0.398386534535133 0.417623721027354 0.390274774537208 0.456881781838949 0.613579968418678 0.754327457519454 0.433708812722125 0.495086640162028 0.542966192369728 0.428839453229697 0.569395017793594 0.511945392491468 0.336511497476164 0.400534045393858 0.389408099688474 0.490436488474743 0.374306530312145
